text	classify
مجھےلگتاہےاسےگیس دھماکہ کہہ کردہشتگردی کےواقعہ پرپردہ ڈلوایاگیاہےیہ بیانBآیاتھاتمام گیس پائپ لائیزبلکل ٹھیک تھیں،باقی لوگوں کےلیےگیس کی لیکیج کوبندکردیاتھاکراچی میں کلBدھماکہ ہوادہشتگردی کاآج والےنےجتنی تباہی مچائی ہےلگ یہ دہشتگردی کارہاہےحالات واپس وہیں جارہےہیں،جہاں سےنکلےتھے😓	0.0
 دشمن سوچ رھا کہ یہ سوئی ھوئی قوم کیسے جاگی اور اسکو  دوبارہ  کسطرح سُلایا جائے	1.0
"کسی کو اگر کل کے اندوہناک واقعے پر طارق جمیل کی روتے ہوئے طالبان ظالمان کی مذمت کی کوئی ویڈیو ملے تو ضرور شئیر کرے

#sarcasm"	1.0
کیا ہوا 😳😳	0.0
"@siasatpk ہا ہا ہا ہا
شیر اِک واری فیر 😉😉
ہا ہا ہا ہا
#Sarcasm"	1.0
جو بیٹی کو اپنی مرضی سے رخصت نہ کر سکا باجوے تم نے اس بندے کی چلتی حکومت رخصت کر دی😉😂😂	0.0
*ہجر دیجئے ... .. صبر دیجئے ... کوئی کشادہ قبر دیجئے💔 *محبت تو دے نہ سکے `` آپ `` 🙏 ایسا کیجئے زہر دیجئے، GOOD_NIGHT	0.0
یار ویرے او تے اخیر ہی اکھاں سن، بس او حنا بٹ دی نا ہون 😂	0.0
سنا تھا کتا کتے کا ویری ہوتا ہے لیکن پی ایم ایل ن اور پی پی پی نے یہ ثابت کر دیا ہے کہ یہ معقولہ غلط ہے۔۔ یاد رہے دونوں پارٹیوں کے جلسوں میں زرداری 🐕 ہاۓ ہاۓ اور نواز 🐕 ہاۓ ہاۓ کے نارے لگتے رہے ہیں۔	1.0
حکومت ختم کرنے کا 1 ہی طریقہ ہے پنسل  سے حکومت لکهو  اور ربڑ  سے مٹا دو باقی کچھ بھی کرنا آپکے بس کی بات نہیں 	1.0
اہو 😂😂	0.0
چلو یہ فرض کرتے ہیں کے تم مشرقِ ، میں مغرب ہوں چلو یہ مان لیتے ہیں بڑا لمبا سفر ہے یہ مگر یہ بھی حقیقت ہے تمہاری ذات کا سورج بہت سا رستہ چل کر ، میری ہستی میں ڈوبے گا  اردوزبان	0.0
گلگت بھٹو کا ✌️❤️🌾 BBZinGB	1.0
عنقریب موٴرخ بخوشی لکھے گا کپتان نہ تو مدت پوری کرتا ہے نہ ہی عدت 😁😁😁😁😁😁😁😁😁😁😁😁 Pakistan	1.0
"جو لوگ شادی شدہ ہیں ان کو شادی مبارک
 اور
جو لوگ غیر شادی شدہ ہیں 
ان کو جشن آزادی مبارک 😜😜😜
#سوچ_کا_سفر  #طنز  #اچھے_الفاظ"	1.0
چکر باز؟؟؟؟؟؟ پچھلے سال اپنے لاڈلوں کو سبسیڈی دیکر گندم اور چینی ایکسپورٹ کروائی گئی اور اب انہی لاڈلوں کے ذریعے گندم اور چینی واپس امپورٹ کروائی جا رہی ہے، لیکن میرا کپتان کرپٹ تو نہیں ہے😏	1.0
👈پی ٹی آئی والے تیار هو جائیں 👈ایک ریٹویٹ لائک سے 2OO فالورز کا اضافہ کریں 👈ریٹویٹ ضرور کریں تاکہ نئے لوگ شامل هوں آپکو فالو کریں 👈ریٹویٹ لائک کرنے والوں کو سب فالو کریں 👈ریٹویٹ کرکےکمنٹ اپنا نام منشن کریں ...	0.0
ترکی اچ ہلے ہے 😂	0.0
ایہہ فیک نئیں، GTA5 دیاں اوریجنل پکچرز نے پٹواریا۔ سیانا ھو جا😜😂	1.0
جج اغواء کیے جاتے تھے صحافی اغواء کیے جاتےتھے سیاستدان اغواء کیے جاتےتھےاب تواتنی ترقی ھوگئی ھے IG اغواء ہونے شروع ہو گئے ہیں🤔🤔 گل ود گئی ائے مختاریا 😂😂 StateAboveStateRejected	1.0
ایسا سوال کرنے سے اس کا لفافہ بند ہو جانا ہے 😂	1.0
نجی مصروفیت کی وجہ سے حلف نہیں اٹھا سکے ستمبر میں😂	1.0
بڑوں کی لڑائی میں بچوں کا کوئی کام نہیں تم کس خوشی میں اچھل رھے ھو🤔تابعدار ملازم😂🖐 مریم نواز StateAboveStateRejected	1.0
اے ویسے وڈا ڈرامہ واں 😜😝😝	1.0
بے روزگاری کی وجہ صرف اور صرف ہٹ دھرمی اور بت پرستی ہے۔ سمجھ کی بات ہے، ابا جان زندہ ہوتے تو سمجھا سکتے۔😉	1.0
ایک تو عورت، دوسرا یہ کہ وہ اداکارہ بھی تھی۔ میرے بھائی قاتل یقیناً کوئی انتہائی غیرت مند انسان ہوگا۔۔۔۔ (#طنز) https://t.co/gm7tefL42U	1.0
تم مجھے اپنا ملازم رکھ لو میں تمہارے لئے ٹویٹ لکھ دیا کروں گا ۔ تمہیں تو پتہ ہے میں مہنگائی کا دور ہے ۔ تنحواہ کے بغیر کام نہیں کروں گا	1.0
پر گھبرانا نہیں میں بوٹے والا کام نہیں کر سکتا😂	1.0
ایک لندن بھاگا دوسرا دوبئی بھاگے گا انشااللہ ... 😁	0.0
معصوم خواہشیں۔ 😂😂😂😂	0.0
👈فضل الرحمن مفتی محمودکابیٹاپاکستان کوگناہ سمجھتا 👈اچکزئ پاکستان توڑنےکاخواھش مند 👈اسفندیارولی سرحدی گاندھی کاپوتا 👈نوازشریف جندال+مودی کادوست،مشترکہ کاروبار 👈سب پاکستان پرقبضہ کی کوشش میں 👈پاکستان اللہ کامعجزہ 👈اللہ کی حفاظت میں 👈اس معجزے کےدشمنوں کاانجام کیاھوگا	0.0
بہت 💕	0.0
واہ کامران بڑی جلدی بازی پلٹی آپ نے۔۔۔۔کل تک تو گن گا رہے تھے نیازی صاحب کے۔😏😏😏😅	1.0
جزاک اللہ 🍃🌸🍃 ہمیشہ خوش رہے ۔اللہ تعالٰی ساری مشکلات پریشانیوں کو دور فرمائے صحت و تندرستی عطا فرمائے گھر میں رزق میں خیر و برکت عطا فرمائے آمین🍃🌸🍃🌸🍃🌸🍃	0.0
خان صاحب کیپٹن صفدر پر جتنے پرچے دے رہے ہو ایک بار اپنی بہن کا رشتہ دے کر دیکھ لو شاید بات بن جائے😂😂	1.0
ZPG1 ریٹویٹ 🔁کر کے اگلی لسٹ میں شامل ہوں جائیں ⏰	0.0
زرداری پتہ نہی کون سے بدلے چکا رہے ہیں ن لیک سے پہلے گنجے سے فوج مخالف تقریر کروائ پھر کراچی میں گنجی کی تقریر کی اجازت نہی دی ن لیک کے پوسٹر کے نیچے پیپلزپارٹی لکھوا کر بینرز وائرل کیے اب اس کا جوائ گرفتار کروا دیا۔ یہ اتحاد ہے یا پھر ن لیک کی بینڈ بجائ جارہی ہے😂 ISPR	1.0
الھم صل علی محمد وعلی آل محمد 🌷 صل اللہ علیہ وآلہٖ وسلم 🌷 بےشک	0.0
اچھا پہلے شادی تمہاری ہونی تو بعد میں مجھے تم یہ سوٹ گفٹ کر دینا🙊😂	0.0
ماضی میں اسٹیبلشمنٹ نے آستین کے سانپ پال لئے اور اصل ھیرے رول دئے۔ امید پہ دنیا قائم ہے 😊😊	1.0
@arifhameed15 بھٹی صاحب، کل رات کاشف عباسی کے پروگرام آف دی ریکارڈ میں آپ کا اور کلاسراصاحب کی طرف سے دیا گیا تجزیہ پر مجھے بہت افسوس ہوا کہ آپ جیسے محب وطن بھی غلاظت سے بھری پارلیمنٹ کا دفاع کرتے رہے اور عمران خان پر تنقید کرتے رہے۔	0.0
اگر تمہیں رہنے کے لئے جگہ چاہئے تو میں تمہیں اپنی آنکھوں کی روشنی میں رکھ سکتی ہوں ... 🖤🔥	0.0
کھسری عنبر کا بس نہیں چلا ورنہ CM Sindh کی پریس کانفرنس میں کپڑے اتار کر ڈانس کرتیں 😜😜😜😜😜😜😜	1.0
"چین میں مسلمانوں پر روزہ رکھنے کی پابندی - جماعت اسلامی نے احتجاج کا اعلان کر دیا

#sarcasm https://t.co/iPJVFwXsGV"	1.0
میں تے آج خوش ہویا وا ٹویٹر تو 😅	0.0
 وہ پوچھنے لگے ؟؟🤔 تم کون ___ لوگ ہو🙄 میں نے بھی آنکھوں میں 🧐 آنکھیں ڈال کر کہہ دیا😜 '' ویلے لوگ، کوئی تکلیف '' 😂😏	1.0
 کچھ لوگوں کے دماغ میںخود بخود سوال ایسے پیدا ہوتے ہے جیسے آم میں کیڑا پھر ایسے تنگ کرتے ہے جیسا مچھر 😂😂😂😂	1.0
Nani420 ٹھیک نام دیا مریم کو فیصلہ ابھی آیا نہیں تھا پہلے معلوم ہوگیا صفدر باہر 🤔✌️	1.0
🌷وعلیکم السلام 🌷 رَبِّ لا تَذَرْنِيَ فَرْدَا وَأَنتَ خَيْرُ الْوَارِثِينَ اے میرے پروردگار مجھے تنہا نہ چ...	0.0
میں پڑھ چکا 👍😂😂	0.0
8 میرے پتر، تیری اصل پھینٹی تے ہن اودھوں لگنی اے جدوں توں یونیورسٹی جاویں گا۔ فیر لکھ کر صفائیاں دیندا پھریں کہ اے نتاشا کون اے۔ 😕	0.0
صحافی مولانا صاحب رات کو مجرے ہوتے ہیں دھرنے نہیں ؟ مولانا صاحب `` چوکیداروں پر اب اعتماد نہیں رہا، اب راتوں کو بھی جاگنا پرتا ہے '' 💪✌👍	0.0
خان صاحب کے پاس NRO کا راگ الاپنے کے علاوہ کرنے کو کچھ نہیں 😜	1.0
اللہ پاک سب کو ہدایت سے نوازے آمین 🌸	0.0
آدھے ٹکے میں دو جتوئی یہ جتوئی وہ جتوئی-😄😄😄	1.0
جامی صاحب بہت اچھی تحریر تھی میں نے بھی پڑھی زبردست 💐	0.0
یہ محض ایک خبر نہیں ہے کروز میزائل ہے جو مافیا پہ گرا ہے اور نوٹ فرما لیجئے یہ کروز میزائل بھی باؤ جی نے بنایا تھا ☺	0.0
چیک کر لو جی ویسے چور تھوری مانتا ہے کہ وہ چور ہے 😂	1.0
آنکھیں بند کر لوں تو آنا جانا کیسے دیکھو گا 😂	1.0
مرغی  انڈہ دے گی اگر صاف نکلا تو `` آملیٹ '' بنے گا اگر گندا نکلا تو `` یوتھیا '' بنے گا۔ 🙊 🤭🙈 😎 😎🤪😝😜😛😬 Dosti	0.0
حکومت ختم ہو چکی ھے اب صرف ہٹ دھرمی باقی ھے 👊💪💪👊	1.0
ہائے صدقے 🥰 میاں صاحب کتنے خوش ہیں خوش مسکراتے ہوئے سلیکٹیڈ کی کتوں والی کر رہے ہیں ❤️	0.0
یہ لڑکا پاگل ہے 😂	0.0
👸🏼بھولنا بھولانا دماغ کا کام ہے۔۔ تم دل میں رہتے ہو بے فکر رہا کرو ❤️🥀 ادب_کا_سفر شاعري محبت_مافیا	0.0
چاہے تور دے اسے چاہے جوڑ دے اسے چاہے چھور دے اسے ... یہ رہا دل یہ رہا میرا دل❤	0.0
یہ ڈیوڈ کا بھی ہیرو ہے 😂😂	0.0
آپ کی ریسرچ مکمل نہیں ہوسکتی ناممکن ہے ناممکن 😂😂	0.0
سر یہ نواز شريف ہے جو پاکستان کے معاملات میں جھانک رہا ہے لندن سے	1.0
پٹواریوں_کی_مادرملت جیداں آمب نوں سوکڑا پیا ہوندا اے😂	1.0
اتنی جلدی پانی میں نمک نہیں گهلتا جتنی جلدی پهیسبکی عوام گهل مل جاتی 😖😂	1.0
توبہ توبہ کیسے کیسے الزام لگ رے ہیں 💃	0.0
ہم اکاونٹنٹ نہیں جانتے ہم اندازہ بازار میں خریداری کے وقت لگاتے ہے کہ کونسی چیز کتنی کی پہلی تھی اور کتنی کی آج؟ یہاں ایکسپورٹ اور ترسیلات کی فضائل بیان کرکے اپ عام عوام کو مطمئن نہیں کرسکتے جب تک عام عوام کی اخراجات میں کمی نہ اجائے😐	0.0
ارے پوچھنے بتانے کی کیا ضروت ھے سب کو پتا ھے کہ کل رات تم نے کہاں اور کس کے ساتھ گزاری ھے 😂😂😂😂	1.0
بوڑھیوں کی لڑائی میں بوڑھے سہمے سہمے لگتے ہیں۔😂😂😂	0.0
آج وفاقی کابینہ کے اجلاس میں فیصل واڈا بولا کہ بشرٰی بی بی بی بی بی انکی ماں سمان ھے اپوزیشن نے اگر اب بشرٰی بی بی کیخلاف کويٴی بات کی تو ھمارا بھرپور جواب دینگے اس کھوتی کے بچے سے کويٴی پوچھے کہ تم کیا کرلو گے اپوزیشن کا اپوزیشن کی نظر میں تو تم بھی دلے اور تیری یہ ماں سمان پنکی بھی دلی😂	1.0
"اویس منگل والا سے لیکر جمیل فاروقی اور ارشد شریف تک سب درست فرماتے رہے ہیں. نہ مطیع اللہ کو اغوا کیا گیا تھا، نہ ابصار عالم کو گولی لگی تھی، نہ ہی اسد طور کو گھر میں گھس کر مارا پیٹا گیا.
یہ سب دراصل توجہ کے بھوکے اور مغربی ممالک میں پناہ چاہتے ہیں.

#sarcasm"	1.0
میری بیگم تو ناراض ہے او جی دولہے کی پھوپھو آپ ہی مان جاؤ نا😂😂😂 کرن_کی_ڈھولک	0.0
خوش رہيں ہميشہ شاد آباد رہيں😊❤	0.0
ہائے کوم سی او دسو نہ 😜	0.0
موٹر وے پولیس 😜😜	0.0
آنیوالے وقت کا زرداری	0.0
آلو200روپےدرجن انڈے200کلو آٹا600روپےلیٹر چینی 100 روپےمربع فٹ سونا1لاکھ روپےکلومیڑ سائنسدان کا نام بلاول بھٹو😂	1.0
 یہی خواب دیکھتے دیکھتے کئی صحافیوں کے بال سفید ہو گئے۔ 😀😀😀😀😀	1.0
🎉کچھ لڑکیاں بچوں کے بسکٹ اور چاکلیٹ کھا کر خود ہی انہیں کہہ رہی ہوتی 👇 چڑیل کھا گئی🎉 🙊😝😝😂😂	1.0
 یوتھیوں کے دماغ میں نا جانے کونسا کیڑا جو انہیں کہتا ہے تبدیلی ہلے ہور آئے گی بس ساتھ نا چھڈنا 😂	1.0
شکریہ ❤🔥	0.0
ووٹ کو عزت دو😅	1.0
اے چاند چلا جا کیوں آیا ہے میری چوکھٹ پر🌔🌑۔ چھوڑ گیا وہ شخص جس کے دھوکے میں تجھے دیکھا کرتا تھا 💔💔👀۔	0.0
جج آخری خواہش بتاو؟ مجرم کوئی غیرت مند پی ٹی آئی والا دیکھنا چاہتا ہوں جج بڑے چالاک ہو ساری زندگی جینا چاہتے ھو 	1.0
میر صاحب یہ بس اپنی بات سنا کر بعد مے گونگے اندھے بن جاتے ہے 	1.0
اوکے جی 🙉🙈😂	0.0
یہ سمجھتے ہیں سارا پاکستان بیوقوف ھے 😂😂😂	1.0
عثمان بزدار کا مذاق اڑانے والے، گالیاں دینے والے اپنے صوبے میں آرمی چیف سے مدد مانگ رہے ہیں کہ تحقیقات کریں `` صفدر کو کس نے گرفتار کیا '' 😂 COAS DGISPR Dgranger	1.0
ماشاءاللہ❤❤❤	0.0
پچیس نہیں پیچش سال 😂	0.0
وہ میری ہر دعا تھا پر وہ نصیب تھا کسی اور کا 🔥	0.0
جی جی۔۔کبھی ہم بھی ایسے ہی نیک ہوا کرتے تھے۔۔۔😌😂😂	1.0
یہ جو مداری شوباز ش لیگ بنانے کی اُمیدواری کے چکروں میں سنا ہے کہ جیل میں اپنا ٹانکہ فٹ کرنے گیا ہے😜اپنے اُس نوسرباز بھائی جتنا ہی بےایمان اور لُٹیرا ہے بس چاپلوسی میں بی جمالو بن کر اپنا اُلو سیدھا کرنے میں مکار ماہر ہے😳اِسطرح تو قوم آسمان سے گر کر سمجھو کھجور پر اٹک جائے گی😜	1.0
سارا پنڈ وی مر جائے تے توں فير وی چوہدری نہيں بننا 😂😂😂	0.0
یار قضاء ہو جاۓ تو دکھ واجب ہو جاتے ہیں💔	1.0
سب منتظر تھے عمران خان کی تقریر کے لیکن اگلوں نے کیپٹن صفدر اور آئی جی کو اغواہ کر کے میلا ہی لوٹ لیا۔۔۔۔۔۔ ہور کجھ ساڈے لائق🙏	1.0
لوگ پھر بھی ٹھرکی ہی سمجھیں گے ... .. 😂 لوگوں کے منہ کیسے بند کر واؤ گے ... .. 😏😉	1.0
ہیڈ بلوکی سے پہلے میرے ننھیال ہے ایسی ہی لوکیشن ❤️❤️❤️❤️❤️	0.0
اوکے گڈ نائٹ سلیٹ ٹائیٹ۔	0.0
 امام عشق و محبت سیدی اعلی حضرت رحمت اللہ علیہ کا 🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻 نعت گوئی نظمی نے سیکھی حسان الہند سے…	0.0
“ کراچی میں میری گرفتاری کے معاملہ کی انکوائری کے لئے عدالتی بنچ بنایا جاۓ،جس کی سربراہی جج فائز عیسی کریں ” داماد اعظم کیپٹن صفدر کے اس مطالبے سے لگا کہ جیسے نواز شریف کی حکومت ہو،جب فون کر کےقیوم ملک سے مرضی کے فیصلے کرواۓ جاتے تھے 😜	1.0
سر اگر فرصت ملے تو ۔ وزیراعظم کوہی اغوا کرلیں ۔ عوام کا تحفظ بھی آپکی زمے داری ہے ۔ پلیز باجوہ انکل ۔🙉🙉	1.0
اسی لیے تو اُڑان بھر کر لندن چلے گئے 😁	1.0
خاتم_النبیین_محمدﷺ کا فرمان ہے ❤️ ” صبح و شام تین تین بار قل هو الله أحد، قل أعوذ برب الفلق، اور قل أعوذ برب الناس پڑھا کرو، ان تین سورتوں کی تلاوت تم کو ہر چیز سے محفوظ رکھے گی۔ “ سنن ابی داود۔5082 فوج_ہے_تو_امن_ہے	0.0
نواز شریف وہ بد بخت عورت ہے جس کے 2 درجن بچے ہو گے ہے لیکن ابھی تک سچا پیار نہی ملا 😉😉😉	1.0
"@Wabbasi007 ہر وقت کی تنقید تمہیں چ نہ بنا دے وسیم
فرصت کے لمحوں میں کبھی غیرت بھی کھا لیا کر"	0.0
👈اگر آج چاروں صوبوں کی پولیس سندھ پولیس کے ساتھ کھڑی ہو جائے تو `` تختہ اُلٹنے والوں کا ہی تختہ اُلٹ جائے گا '' SindhPolice SindhGovt WeStandWithYou WeStandWithSindhPolice	1.0
میری شادی کی فکر مجھے چھوڑ کر میرے سارے خاندان کو ہے🌚	0.0
کاکا جب تم نے عدت پوری نہیں ہونے دی🤭 تو عوام کیسے مدت پوری ہونے دے گی🙊🤣	0.0
ملے تب نہ کوئی🙈😂😂	0.0
وہ دونوں ایک دُوسرے کو گالیاں دے رہے تھے، میں نے جا کر سمجھایا کہ `` جسم کے زخم بھر جاتے ہیں، مگر اِلفاظ کے زخم کبھی نہیں بھرتے '' تب جا کر کہیں مار پیٹ شروع ہوئی 😜	1.0
 اور کمیٹی بنا دی فرررر تو گیو پبلک سمجھو 😂😂	1.0
 کل فیس بک بتا رہی تھیں کے تنویر اپ 19 اکتوبر 2018 کو پیکجیز مال کے ایک کیفے میں ٹوٹیر کی ایک دوست کو ملے تھے 😊😊 اور و…	0.0
آپ کامران خان کو جتنی مرضی شرم دلائیں لیکن اسے کوئی فرق نہیں پڑے گا	0.0
 ھاھاھا جنرل باجوہ اور جنرل فیض کے ساتھ کی بھی تو بہت بری ہے، اب دونوں نے یہی دعا مانگنی ہے 😃	1.0
شکورے تیری اور منظورے کی ماں کو لن 😂💪	1.0
"@miss3zero1 بات درست ہے کسی کی  پرسنل لائف سے ہمیں کیا مگر یہ رویہ بھی غلط ہے کہ کسی غلطی سے فرق نہیں پڑتا. 
معاشرے کی اکائی مرد اور عورت
#طنز"	1.0
 جناب ویڈیو بھی لگائیں 😄😂 موبائل اسمبلی اور گارمنٹس فیکٹری میں جاتے لوگوں کے تاثرات عوام تک پہنچانا ضروری…	1.0
ھسے نہ چی پہ بلہ جلسہ کے اووئی چی کدو پہ 200 روپی گز 😄😄😄	1.0
او پتا نئی حکومت کی کھا کے ستے نیں 😳	0.0
بڑی دیر سے ٹوٹیفکیشنز میں سناٹا تھا اور پھر میں حرام خوروں کو چھیڑ دیا۔ اب گالیوں سے بھرا پڑا ہے۔😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂	1.0
پتہ نہیں تمھاری `` supremacy '' کی کیا ڈیفینیشن ہے خود کو سپریم سمجھنا چھوڑ دو تاکہ تمھیں Civilian supremacy نظر آئے 😏	1.0
اس کی کون سنتا ہے۔ یہ حکومت کا فیصلہ ہے۔ 😜	1.0
 اگر ہم غور کریں ہمارے ہاتھ میں روٹی کا نوالہ کیسے آیا؟؟ تو منہ میں ڈالنے سے پہلے ہم سجدہ کریں ❤️❤️	0.0
 جدھر جدھر گیا ایک دھوم مچا دی نعرہ نعرہ نعرہ بھٹو گلگت بلتستان بھٹو کا 💚❤️ BBZinGB	1.0
وہ پوچھنا تھا کہ ووٹ کو عزت اور عزت دینی ہے یا اتنی ہی کافی ہے؟؟؟ 😊😉 CaptainSafdar	1.0
 😝 انسان تین چیزیں کبھی نہیں چھپا سکتا۔ محبت۔ کھانسی۔ اور پاپڑ کھانے کآواز😂😁 	1.0
بھینسا گیا پانی میں 😜😂	1.0
😂 😂 جیجو ملے نہیں ابھی بچے ہوئے	0.0
وہ بتا کر کم ذلیل ہونے سے بہتر سمجھتا ہے ایکسپوز ہوکر زیادہ ذلیل ہو۔ ہم نے آپ کی خواہش پوری کبھی نہیں کرنی حضور۔۔۔۔😂😂😂😂	1.0
نامه اے به آرزوهام '' ببخشید ڪونشو نداشتم '' 🥺😁	0.0
اگر کیپٹن صفدر کے نعروں سے قائد اعظم اٹھ جاتے ہیں اور ہم سےپوچھتے ہیں '' بتاو کہاں ہے نیا پاکستان تو ہم کیا جواب دیتے ہیں '' علی زیدی بیان ریکارڈ کراتے ہوے رو پڑے 😂😭😭😭😭😭😭	1.0
۔✍🏻📚🤲🏻 *_1۔۔۔جو شخص دوسرے کے غم سے بےغم ہے ۔ وہ آدمی کہلانے کا حق دار نہیں_* *_2۔۔۔ دشمن سے ہمیشہ بچو ، اور دوست سے اس وقت بچو جب وہ آپکے منہ پر آپکی تعریف کرنے لگے_* *_3۔۔۔ اگر چڑیوں میں اتحاد ہوجائے تو وہ شیر کی کھال اتار سکتی ہیں_*	0.0
سنا ہے آرمی چیف صاحب نے ووٹ چوری کا نوٹس لے بہت خوب 🌷🌷	1.0
ڈر کس بات کا آپ کونسے بندے کھاتی ہیں 😕	0.0
آئین اور حلف سے وفاداری والے تو خیر سے لندن بیٹھے ہوئے ہیں جعلی پلیٹوں کا سہارا لیکر 😎	1.0
 اپنے کردار پر ڈال کر پردہ۔۔ ہر شخص کہ رہا ہے 💯👍 زمانہ خراب ہے	1.0
پولیس افسران نے زبردست ٹرینڈ شروع کیا ہے ، چھٹی پر جائو عزت بچائو  WeStandWithSindhPolice	1.0
😂 یار تم یہ چھپ چھپ کے پٹواری اور جیالا کیوں بن رہی ہو۔ کھل کےشمولت کا اعلان کرو سرکاری حاجن۔ گالیاں تو ویسے بھی پڑ ہی رہی ہیں	1.0
جو سجائے رکھتے ہیں ہونٹوں پہ ہنسی کی کِرن نہ جانے رُوح میں کِتنے شگاف رکھتے ہیں  خاموش خزاں	0.0
ملکہ برطانیہ سے کہو کہ `` کوہ نور `` بے شک واپس نہ کرے مگر وہ '' سور '' ضرور واپس کر دے جو پاکستان کی ساری فصل اجاڑ گیا ہے 😂🤣 PDMExposed	0.0
پگلے دل چھوٹا نہیں کرتے 🙈🙈🙈🙈🙈✌✌✌✌ ابھی تو ایک ایک میٹر میں کدو بھی خریدنے ہیں	0.0
مطلب ابھی تک کُچھ ہی ہے 🤔 تو پھر گلہ کس بات کا ہے 🤷🏻‍♂️😂🌿🌿	0.0
متشکرم  شکرن آ لاٹ فار یور پرشئیس ورڈز  جی اپنی سی کوشش جاری ہے۔	0.0
 ان قربتوں میں عجب فاصلے پڑے کی مجھے ہے آشنا کی طلب آشنا کے ہوتے ہوئے احمد فراز اردو	0.0
او اللہ کی بندی صبح کچھ کہا تھا آپکو ڈی ایم میں جھاتی مارو جاکر 😂😂😂	1.0
گالاں کھانیاں 😂😜😂✌️✌️	0.0
آج پھر جوتوں کی اپڈیٹ آٸی جو میرا اپنے سر مارنے کا دل کر را تھا ۔ ایسے کونسے گناہ کر لیے جو ایسی سزا مل رہی ہے 😢😢😢😅	1.0
